"pants_num","pants_name","pants_brand","pants_hashtag","pants_starrating","pants_imgUrl","pants_rank","pants_hearts_count"
"1514260","모던 유로파 트랙팬츠 - 블랙:화이트 / GJ6745","ADIDAS","#삼선바지#삼선팬츠#스웨트팬츠#트레이닝바지#트레이닝팬츠#3S#3S팬츠#밴딩#테이퍼드","4.8","https://image.msscdn.net/images/goods_img/20200714/1514260/1514260_1_500.jpg","8679","16847"
"1323090","Bluish Medium Blue / New Stan","PIECE WORKER","#데님#스탠다드#워싱진#중청#진","4.8","https://image.msscdn.net/images/goods_img/20200226/1323090/1323090_8_500.jpg","8679","10153"
"1364029","M 팩 숏 팬츠 - 블랙 / FL0243","ADIDAS","#밴딩반바지#밴딩팬츠#쇼츠팬츠#추리닝반바지","4.8","https://image.msscdn.net/images/goods_img/20200323/1364029/1364029_6_500.jpg","8679","8061"
"2411325","깡스타일리스트 X 플랙 스티즈 K39 인디고","PLAC","#플랙×깡스타일리스트#생지데님#청바지#와이드데님#데님팬츠#바지#와이드청바지","4.8","https://image.msscdn.net/images/goods_img/20220311/2411325/2411325_3_500.jpg","8679","2851"
"655627","Plant Manager2 / New Crop","PIECE WORKER","#크롭진","4.8","https://image.msscdn.net/images/goods_img/20171019/655627/655627_19_500.jpg","8679","13066"
"573121","OG se 카고조거 슬랙스 Black","SEVENSELAH","#슬랙스#조거팬츠#카고조거#카고조거팬츠#트랙팬츠#프리미엄","4.8","https://image.msscdn.net/images/goods_img/20170608/573121/573121_23_500.jpg","8679","26280"
"539654","와이드 밴딩 슬랙스_Black","ADLE","#밴딩팬츠#와이드팬츠#코튼팬츠#트레이닝바지","4.6","https://image.msscdn.net/images/goods_img/20170417/539654/539654_8_500.jpg","8679","27383"
"2132190","턱 벌룬핏 와이드 스웻 팬츠 (MELANGE GRAY)","TOFFEE","#토피와이드#스웻팬츠#트레이닝바지#밴딩팬츠#셋업#스웨트팬츠#벌룬핏","4.8","https://image.msscdn.net/images/goods_img/20210915/2132190/2132190_1_500.jpg","8679","6851"
"947057","스웨트 쇼츠 [블랙]","MUSINSA STANDARD","#반바지#아웃도어#올데이쇼츠#하프팬츠#스웨트팬츠#쇼츠컬렉션#스웨트컬렉션#무탠픽업","4.7","https://image.msscdn.net/images/goods_img/20190201/947057/947057_3_500.jpg","8679","5105"
"1778523","모어 와이드 데님 팬츠 (BLEACH)","TOFFEE","#데님팬츠#청바지#와이드#와이드팬츠#와이드데님#토피와이드#토피바지","4.8","https://image.msscdn.net/images/goods_img/20210204/1778523/1778523_1_500.jpg","8679","10118"
