"top_num","top_name","top_brand","top_hashtag","top_starrating","top_imgUrl","top_rank","top_hearts_count"
"2049854","[i-ts21-009]앤젤 캣 티셔츠_화이트","ITZAVIBE","#그래픽티셔츠#반팔티셔츠#오버핏#반팔티#고양이#고양이티셔츠#여자반팔티","4.8","https://image.msscdn.net/images/goods_img/20210805/2049854/2049854_1_500.jpg","524","2973"
"1713569","클래식 로고 플리스 폴로 맨투맨 - 블랙","BADBLOOD","#맨투맨#트레이닝#트레이닝세트#스웨트셔츠#트레이닝복#맨투맨티셔츠#긴팔티#클래식로고","4.8","https://image.msscdn.net/images/goods_img/20201204/1713569/1713569_3_500.jpg","524","563"
"1905029","Srtiped Wrap Top Black","CHORRD","#긴팔티#롱슬리브#긴팔","3.9","https://image.msscdn.net/images/goods_img/20210419/1905029/1905029_1_500.jpg","524","478"
"1905114","Curve Tee Beige","CHORRD","#긴팔티#롱슬리브#긴팔","5","https://image.msscdn.net/images/goods_img/20210419/1905114/1905114_1_500.jpg","524","120"
"1905636","Side String Tee Purple","CHORRD","#티셔츠#타이다이#티#긴팔#긴팔티","5","https://image.msscdn.net/images/goods_img/20210419/1905636/1905636_1_500.jpg","524","400"
"1905026","Srtiped Wrap Top Beige","CHORRD","#긴팔티#롱슬리브#긴팔","4","https://image.msscdn.net/images/goods_img/20210419/1905026/1905026_2_500.jpg","524","151"
"1905103","Curve Tee Grey","CHORRD","#긴팔티#롱슬리브#긴팔","4.7","https://image.msscdn.net/images/goods_img/20210419/1905103/1905103_1_500.jpg","524","248"
"1905628","Side String Tee Blue","CHORRD","","5","https://image.msscdn.net/images/goods_img/20210419/1905628/1905628_1_500.jpg","524","453"
"1905131","Curve Tee Black","CHORRD","#긴팔티#롱슬리브#긴팔","4.8","https://image.msscdn.net/images/goods_img/20210419/1905131/1905131_1_500.jpg","524","866"
"1212230","폴라 플리스 스웨트셔츠 [블랙]","MUSINSA STANDARD","#스웨트셋업#아웃도어#트레이닝복#풀오버#플리스컬렉션#후리스#긴팔티#홈웨어컬렉션#스웨트컬렉션#무지","4.8","https://image.msscdn.net/images/goods_img/20191104/1212230/1212230_1_500.jpg","524","2166"
"826451","빈티지 블랙 도트 스트라이프 셔츠 S22","DIAMOND LAYLA","#남방#셔츠#스트라이프#스트라이프셔츠#체크셔츠#긴팔셔츠#오버핏셔츠","4.7","https://image.msscdn.net/images/goods_img/20180810/826451/826451_10_500.jpg","524","32523"
"1876384","쿠퍼 로고 티셔츠 네이비","COVERNAT","#반팔티셔츠#반팔티#반팔#티셔츠#라운드티#로고티셔츠#로고","4.9","https://image.msscdn.net/images/goods_img/20210401/1876384/1876384_2_500.jpg","524","20015"
"1681349","RAGLAN HALF ZIP-UP KNIT SWEATER (C192MK001_IV)","POLLUTION","#남자니트#니트#긴팔니트#스웨터#오버핏니트#반집업#하프집업","4.6","https://image.msscdn.net/images/goods_img/20201106/1681349/1681349_2_500.jpg","524","2447"
"449529","[패키지]제이 양기모후드 패키지(HJHD2050)","JEMUT","#양기모후드#패키지","4.8","https://image.msscdn.net/images/goods_img/20161118/449529/449529_12_500.jpg","524","10240"
"2074987","[2PACK] 캐시미어 블렌드 라운드 니트 세트","SUARE","#니트#라운드니트#캐시미어#울니트#남자니트#라운드넥","4.8","https://image.msscdn.net/images/goods_img/20210820/2074987/2074987_3_500.jpg","524","1593"
"680026","[세트구성] 1301 무지 반팔티","AAA","#반팔티#숏슬리브#반팔#티셔츠#기본티#반팔티셔츠#오버핏","4.7","https://image.msscdn.net/images/goods_img/20171128/680026/680026_2_500.jpg","524","2594"
"1626476","클래식 로고 플리스 폴로 맨투맨 - 네이비","BADBLOOD","#트레이닝#트레이닝복#긴팔티#클래식로고","4.8","https://image.msscdn.net/images/goods_img/20200928/1626476/1626476_2_500.jpg","524","647"
"1571500","빅 트위치 루즈핏 후디 그레이","LEE","#후드#후드티셔츠#스웻셔츠#루즈핏#유니섹스#빅로고#트위치#셀럽픽#MDPICK#상의YOUAREIN","4.8","https://image.msscdn.net/images/goods_img/20200831/1571500/1571500_8_500.jpg","524","37583"
"1771281","STAND FOR BALANCE LONG SLEEVE TEE-BLACK","AECA WHITE","","4.5","https://image.msscdn.net/images/goods_img/20210201/1771281/1771281_1_500.jpg","524","55"
"2322901","[X MUZIKTIGER] Basic Long Sleeve T-shirt_QUTAX22831IVX","LUCKYMARCHE","#LU#무직타이거","5","https://image.msscdn.net/images/goods_img/20220124/2322901/2322901_3_500.jpg","524","13"
"580286","Ramie Half Shirts (Beige)","JHONNY WEST","#레이온#레이온셔츠#반팔셔츠#셔츠#남방#오버핏셔츠#오버핏","4.6","https://image.msscdn.net/images/goods_img/20170620/580286/580286_1_500.jpg","524","5560"
"1771302","STAND FOR BALANCE LONG SLEEVE TEE-WHITE","AECA WHITE","","4.8","https://image.msscdn.net/images/goods_img/20210201/1771302/1771302_1_500.jpg","524","91"
